Inventory(serial number);Client(code);PartNumber;TID;MID;STATUS (sold/rent/repair);Start warranty (Date);End warranty (Date)
1912CA8X2258;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1912CA8X2305;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1915CA8Y7073;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5769;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5770;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5771;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5772;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5773;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5774;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5775;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5776;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5777;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5778;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5779;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5780;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5781;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5782;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5783;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5784;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5785;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5786;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5787;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5788;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5789;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5790;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5791;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5792;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5793;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5794;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5795;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5796;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5797;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5798;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5799;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5800;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5801;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5802;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5803;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5804;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5805;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5806;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5807;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5808;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5809;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5810;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5811;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5812;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5813;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5814;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5815;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5816;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5817;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5818;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5819;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5820;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5821;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5822;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5823;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5824;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5825;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5826;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5827;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5828;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5829;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5830;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5831;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5832;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5833;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5834;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5835;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
1943CA8T5836;kartuku;VA01000175;0;0;sold;15/05/2019;15/05/2020
